horizon,standardised by,n,skew,ex_kurt,P(|z|>3),P(|z|>5)
1m,raw,3941172,-0.2577754932892958,249.90164055705512,0.015746331294345946,0.003467496470593011
1m,same-day vol,3941172,-0.18232662882576528,29.129618815699786,0.014581449375972427,0.0024299878310309725
1m,prev 15m,3941172,-0.02413003855053181,52.851715810918414,0.011683580417195697,0.0018276289388029754
1m,prev 30m,3941172,-0.28735220200224215,57.403792670217506,0.011498863789755941,0.0017685094687570093
1m,prev 2h,3941172,-0.20980989112293438,102.59396801242787,0.01190255081483376,0.0019717485052669612
5m,raw,3929220,-0.4304755790275665,170.22526504541625,0.01598408844503489,0.003570937743368913
5m,same-day vol,3929220,-0.11463893305006066,14.203656052091961,0.014510768040476227,0.0023421951430563828
5m,prev 15m,3929220,-0.7450407777548008,51.274226651971574,0.011413715699299097,0.0019133568494510362
5m,prev 30m,3929220,-0.6321672045092309,54.83797132533402,0.0110563928718677,0.001836751314510259
5m,prev 2h,3929220,-0.1122786790289912,76.89391578893157,0.01132463949587959,0.0020637683815108343
15m,raw,3899340,-0.38809904485603763,51.55651457171747,0.01737935137741259,0.0038780921899603522
15m,same-day vol,3899340,-0.05652507950826795,7.07223633546565,0.014952273974570055,0.0021565187954884673
15m,prev 15m,3899340,-0.2124203955775651,39.77061572153899,0.011767376017479882,0.0022885924284622525
15m,prev 30m,3899340,0.19025408357496704,34.895579537712486,0.011612734462755235,0.002280898818774459
15m,prev 2h,3899340,0.46541599042082166,37.392009044776486,0.012222837710997246,0.0023747608569655377
