horizon,price,n,frac_zero,vol_bp,vol_ann,skew,ex_kurt
1s,mid,42935383,0.7269294651453324,0.6747985933739805,0.37894612643636616,-0.01828565488044876,209.921645546229
1s,swmid,42935383,0.00034456429560672606,0.6751788865166116,0.3791596873636197,-0.01660740539140141,209.4078228023822
2s,mid,42934822,0.6034602635594949,0.9934983933566146,0.39450769143669545,0.061788012409387284,193.9600314759657
2s,swmid,42934822,0.00013657911519931304,0.993824243683547,0.3946370831509565,0.06042413270547216,193.4775659436594
5s,mid,42933198,0.4126097478226523,1.6420811332402825,0.4123945455814356,-0.2894931058368839,136.39040377775063
5s,swmid,42933198,9.165401561747159e-05,1.6423436571882322,0.412460476211797,-0.29151946380209304,136.55133827240616
15s,mid,42928101,0.19991259338492517,2.927348573347331,0.42445544870990737,-0.040637673354700345,113.428391244541
15s,swmid,42928101,5.683922519656763e-05,2.9275876152118134,0.42449010895596523,-0.04064647483019044,113.53139681509764
1m,mid,42905653,0.04789895634498326,5.907583353792857,0.4282896075403266,-0.3209020435179518,109.18802034650486
1m,swmid,42905653,4.661390423308556e-08,5.9078076759097,0.42830587050703084,-0.3207995311671753,109.183464441541
5m,mid,42786295,0.004229157958173289,13.067243410975443,0.4236689701880457,-0.4223670446217373,122.762609673825
5m,swmid,42786295,0.0,13.067332649028845,0.4236718634833643,-0.4223487881911914,122.76781483334626
15m,mid,42488097,0.0011933930578251128,22.079230591458195,0.41330055068700133,-0.3926581928150478,43.282842482074074
15m,swmid,42488097,0.0,22.079199049045368,0.41329996024538523,-0.392660061532696,43.2838327964871
1h,mid,41146270,0.0005092563675881192,43.45176130027164,0.40668620220557117,-0.20017276412899107,15.661595475307358
1h,swmid,41146270,0.0,43.4516846429324,0.4066854847321884,-0.20016797749366574,15.661737460119436
