day,nan,gap_s,masked_s,kept
2023-05-16,42587,42588,0,False
2023-05-17,31582,31583,0,False
2023-05-18,0,1,8,True
2023-05-19,0,2,0,True
2023-05-20,0,1,0,True
2023-05-21,0,2,0,True
2023-05-22,0,2,0,True
2023-05-23,0,1,1,True
2023-05-24,0,1,11,True
2023-05-25,0,1,2,True
2023-05-26,0,1,0,True
2023-05-27,0,1,0,True
2023-05-28,0,1,5,True
2023-05-29,0,1,3,True
2023-05-30,0,1,0,True
2023-05-31,0,2,4,True
2023-06-01,0,1,0,True
2023-06-02,0,2,4,True
2023-06-03,0,2,0,True
2023-06-04,0,1,0,True
2023-06-05,0,1,97,True
2023-06-06,0,1,6,True
2023-06-07,0,1,0,True
2023-06-08,0,4,0,True
2023-06-09,0,4,0,True
2023-06-10,0,3,8,True
2023-06-11,0,3,0,True
2023-06-12,0,3,0,True
2023-06-13,3,4,0,False
2023-06-14,0,3,18,True
2023-06-15,0,7,0,True
2023-06-16,0,3,4,True
2023-06-17,0,3,5,True
2023-06-18,0,3,1,True
2023-06-19,0,3,4,True
2023-06-20,0,3,1,True
2023-06-21,0,3,23,True
2023-06-22,0,3,7,True
2023-06-23,0,2,14,True
2023-06-24,0,3,4,True
2023-06-25,0,1,1,True
2023-06-26,0,2,9,True
2023-06-27,0,2,1,True
2023-06-28,0,1,13,True
2023-06-29,0,3,1,True
2023-06-30,0,2,51,True
2023-07-01,0,3,0,True
2023-07-02,0,1,2,True
2023-07-03,0,3,4,True
2023-07-04,0,3,3,True
2023-07-05,0,3,5,True
2023-07-06,0,1,7,True
2023-07-07,0,3,7,True
2023-07-08,0,2,0,True
2023-07-09,0,5,0,True
2023-07-10,0,3,4,True
2023-07-11,0,3,2,True
2023-07-12,0,2,8,True
2023-07-13,0,1,6,True
2023-07-14,0,1,4,True
2023-07-15,0,1,0,True
2023-07-16,0,2,0,True
2023-07-17,0,3,5,True
2023-07-18,0,1,4,True
2023-07-19,0,2,1,True
2023-07-20,0,2,0,True
2023-07-21,0,2,0,True
2023-07-22,0,1,0,True
2023-07-23,0,1,0,True
2023-07-24,0,1,26,True
2023-07-25,0,3,0,True
2023-07-26,0,3,3,True
2023-07-27,0,2,0,True
2023-07-28,0,4,0,True
2023-07-29,0,4,0,True
2023-07-30,0,2,4,True
2023-07-31,0,2,1,True
2023-08-01,0,2,23,True
2023-08-02,0,2,4,True
2023-08-03,0,3,0,True
2023-08-04,0,4,3,True
2023-08-05,0,4,0,True
2023-08-06,0,4,0,True
2023-08-07,0,3,5,True
2023-08-08,0,4,0,True
2023-08-09,0,4,0,True
2023-08-10,0,4,1,True
2023-08-11,0,4,0,True
2023-08-12,0,3,0,True
2023-08-13,0,2,0,True
2023-08-14,0,2,0,True
2023-08-15,0,4,6,True
2023-08-16,0,4,5,True
2023-08-17,0,3,94,True
2023-08-18,0,3,5,True
2023-08-19,0,3,0,True
2023-08-20,0,3,0,True
2023-08-21,0,3,2,True
2023-08-22,0,3,10,True
2023-08-23,0,2,4,True
2023-08-24,0,2,0,True
2023-08-25,0,2,2,True
2023-08-26,0,1,0,True
2023-08-27,0,1,0,True
2023-08-28,0,3,0,True
2023-08-29,0,2,43,True
2023-08-30,0,3,6,True
2023-08-31,0,3,14,True
2023-09-01,0,2,6,True
2023-09-02,0,4,0,True
2023-09-03,0,3,1,True
2023-09-04,0,3,2,True
2023-09-05,4,5,0,False
2023-09-06,0,1,4,True
2023-09-07,0,3,1,True
2023-09-08,0,4,0,True
2023-09-09,0,3,0,True
2023-09-10,0,3,2,True
2023-09-11,0,2,13,True
2023-09-12,0,1190,0,False
2023-09-13,0,2,1,True
2023-09-14,0,2,5,True
2023-09-15,0,3,0,True
2023-09-16,2,3,0,False
2023-09-17,0,3,1,True
2023-09-18,0,1,3,True
2023-09-19,0,1,2,True
