horizon,price,n,frac_zero,vol_bp,vol_ann,skew,ex_kurt
1s,mid,11770923,0.0,1.2938806623055452,0.7266035671474358,-0.006667089757843926,54.620948080819595
1s,swmid,12583401,0.0,1.2521137470808918,0.7031485527283309,-0.005902118457501523,58.4515791372871
2s,mid,17085437,0.0,1.581157883119904,0.6278610518524123,0.043004134795113946,74.35770099867823
2s,swmid,18120010,0.0,1.5358573212974171,0.6098726784590799,0.04352370395252929,78.84263090635046
5s,mid,25293552,0.0,2.1477384085441953,0.5393860188087152,-0.21224254107708343,78.11628632666722
5s,swmid,26355683,0.0,2.1043517903822977,0.5284898430236098,-0.21808982451377798,81.62107225994824
15s,mid,34430278,0.0,3.2814267802165085,0.47579556773208587,-0.028355336828833705,89.21489830797056
15s,swmid,35071425,0.0,3.2515588643851974,0.47146482293058356,-0.028563435036985125,91.01518059764247
1m,mid,40936525,0.0,6.073451736688751,0.44031477931690793,-0.29745231665526206,102.55249496262286
1m,swmid,41084276,0.0,6.062749806507883,0.43953890783061805,-0.2978732976807027,102.92919055325333
5m,mid,42691309,0.0,13.137901684120477,0.4259598678836897,-0.4189536645379093,120.55418725536704
5m,swmid,42699538,0.0,13.136724754536447,0.42592170922013933,-0.4189739795509187,120.58312348953845
15m,mid,42522799,0.0,22.153894582868052,0.4146981840256431,-0.38938345979931455,42.77692598635833
15m,swmid,42523334,0.0,22.153724135635134,0.4146949934282654,-0.38938710309374414,42.778473224104964
1h,mid,41208073,0.0,43.54248348916299,0.4075353153681202,-0.20312194784485485,15.533100199877516
1h,swmid,41207989,0.0,43.542451874295665,0.4075350194691752,-0.20311702140590313,15.533202363483007
